  # unexplored nodes    LB at node            LB            UB         Gap at node                 Gap   # columns in pool    # BB Nodes
                   2         59889   3.40282e+38   3.40282e+38        5.68188e+35%                  0%                 779             3
                   3       59955.8         59889   3.40282e+38        5.67555e+35%        5.68188e+35%                 787             5
                   4       63856.2         59889   3.40282e+38        5.32888e+35%        5.68188e+35%                 862             7
                   5       61246.3       59955.8   3.40282e+38        5.55596e+35%        5.67555e+35%                 975             9
                   6       61915.2       59955.8       82671.2            33.5232%            37.8869%                1324            11
                   7       61444.7       61246.3       82671.2            34.5456%            34.9815%                1379            13
                   8       61668.4       61246.3       82671.2            34.0577%            34.9815%                1774            15
                   9       61473.4       61444.7       82671.2            34.4829%            34.5456%                1784            17
                  10       63480.8       61444.7       82671.2            30.2303%            34.5456%                1869            19
                  11       61639.5       61473.4       82671.2            34.1205%            34.4829%                1935            21
                  12       61915.2       61473.4       82671.2            33.5232%            34.4829%                2329            23
                  13         61640       61639.5       82671.2            34.1194%            34.1205%                2334            25
                  14       62080.5       61639.5       82671.2            33.1678%            34.1205%                2402            27
                  15       62526.5         61640       82671.2            32.2179%            34.1194%                2420            29
                  16       63831.4         61640       72839.9            14.1129%            18.1699%                2475            31
                  17       61668.4       61668.4       72839.9            18.1153%            18.1154%                2475            33
                  18       63710.8       61668.4       72839.9            14.3289%            18.1154%                2535            35
                  19       62639.7       61668.4       72839.9            16.2838%            18.1153%                2619            37
                  19       68976.5       61915.2       72839.9            5.60097%            17.6446%                2692            39
                  19       61950.3       61915.2       72839.9            17.5779%            17.6446%                2777            41
                  20       61950.3       61915.2       72839.9            17.5779%            17.6446%                2809            43
                  21       61951.4       61950.3       72839.9            17.5757%            17.5779%                2828            45
                  22       66345.9       61950.3       72839.9            9.78813%            17.5779%                2912            47
                  23       64555.1       61950.3       72839.9            12.8337%            17.5779%                2981            49
                  24       61951.4       61950.3       72839.9            17.5757%            17.5779%                3000            51
                  25       62944.3       61951.4       72839.9            15.7212%            17.5757%                3068            53
                  24       62903.9       61951.4       72839.9            15.7955%            17.5757%                3230            55
                  25       65681.5       62080.5       72839.9            10.8987%            17.3314%                3552            57
                  26         62635       62080.5       72839.9            16.2926%            17.3314%                3566            59
                  27       62543.3       62526.5       72839.9            16.4631%            16.4945%                3605            61
                  28       62882.3       62526.5       72839.9            15.8352%            16.4945%                3920            63
                  29       62563.7       62543.3       72839.9            16.4251%            16.4631%                3928            65
                  30       62874.1       62543.3       72839.9            15.8503%            16.4631%                4190            67
                  31       62568.1       62563.7       72839.9             16.417%            16.4251%                4198            69
