  # unexplored nodes    LB at node            LB            UB         Gap at node                 Gap   # columns in pool    # BB Nodes
                   2        427837   3.40282e+38        442867            3.51286%               -100%                1346             3
                   4        427840        427837        442867            3.51225%            3.51286%                1361             5
                   6        427845        427837        442867            3.51111%            3.51286%                1648             7
                   8        442758        427840        442771         0.00285144%            3.48981%                1777             9
                   9        428133        427840        442771            3.41897%            3.48981%                1896            11
                  11        427928        427840        442771            3.46852%            3.48981%                2039            13
                  12        428133        427845        442771            3.41897%            3.48867%                2157            15
                  13        427928        427845        442771            3.46852%            3.48867%                2372            17
                  14        428128        427928        442771            3.42013%            3.46852%                2449            19
                  15        428128        427928        442771            3.42013%            3.46852%                2531            21
                  14        428156        427928        442771            3.41335%            3.46852%                2608            21
                  11        428155        427928        442771            3.41361%            3.46852%                3037            21
                  12        428260        428128        442771            3.38821%            3.42013%                3390            23
                  14        428260        428128        442771            3.38821%            3.42013%                3472            25
                  13        428269        428133        442771            3.38606%            3.41897%                4431            27
                  15        428269        428133        442771            3.38606%            3.41897%                4453            29
                  17        428566        428260        442771            3.31458%            3.38821%                4529            31
                  18        428535        428260        442771            3.32187%            3.38821%                4566            33
                  20        428293        428260        442771            3.38025%            3.38821%                4581            35
                  22        428263        428260        442771            3.38758%            3.38821%                4694            37
                  24        428268        428260        442771            3.38639%            3.38821%                4707            39
                  26        428533        428260        442771            3.32254%            3.38821%                4915            41
                  28        428555        428263        442771            3.31717%            3.38758%                4947            43
                  30        428411        428263        442771            3.35183%            3.38758%                4958            45
                  32        428396        428263        442771            3.35541%            3.38758%                5038            47
                  34        428309        428268        442771            3.37643%            3.38639%                5060            49
                  36        428331        428268        442771             3.3712%            3.38639%                5125            51
                  38        428314        428268        442771            3.37537%            3.38639%                5174            53
                  38        428393        428269        442771            3.35621%            3.38606%                5566            55
                  39        428393        428269        442771            3.35621%            3.38606%                5965            57
                  40        428572        428293        442771            3.31307%            3.38025%                6144            59
                  41        428552        428293        442771            3.31776%            3.38025%                6338            61
                  43        428629        428309        442771            3.29919%            3.37643%                6466            63
                  45        428665        428309        442771            3.29062%            3.37643%                6548            65
                  46        428548        428309        442771            3.31882%            3.37643%                6567            67
                  47        428376        428314        442771            3.36038%            3.37537%                6793            69
                  49        428345        428314        442771             3.3678%            3.37537%                6833            71
                  51        433391        428331        442771            2.16431%             3.3712%                6850            73
                  53        436271        428331        442771            1.48973%             3.3712%                6978            75
                  55        428334        428331        442771            3.37046%             3.3712%                7022            77
                  57        428341        428334        442771            3.36884%            3.37046%                7040            79
                  59        436138        428334        442771            1.52076%            3.37046%                7080            81
                  61        433393        428334        442771            2.16379%            3.37046%                7107            83
                  65        433498        428341        442771            2.13912%            3.36884%                7183            87
                  66        428354        428341        442771            3.36568%            3.36884%                7206            89
                  68        428437        428345        442771            3.34549%             3.3678%                7271            91
                  70        428400        428345        442771            3.35452%             3.3678%                7312            93
                  69        428391        428345        442771            3.35669%             3.3678%                7350            93
                  71        428370        428354        442771            3.36168%            3.36568%                7371            95
                  73        428614        428354        442771            3.30284%            3.36568%                7559            97
                  74        428374        428370        442771            3.36066%            3.36168%                7579            99
                  76        436339        428370        442771            1.47408%            3.36168%                7640           101
                  78        433498        428370        442771            2.13912%            3.36168%                7677           103
                  80        428377        428374        442771            3.36003%            3.36066%                7682           105
                  81        428567        428374        442771            3.31412%            3.36066%                7839           107
                  83        428619        428376        442771            3.30166%            3.36038%                7870           109
                  85        428646        428376        442771            3.29527%            3.36038%                7911           111
                  86        433507        428377        442771            2.13681%            3.36003%                8086           113
                  88        428384        428377        442771            3.35824%            3.36003%                8111           115
                  90        436212        428377        442771             1.5035%            3.36003%                8182           117
                  92        428387        428384        442771            3.35761%            3.35824%                8209           120
                  94        436277        428384        442771            1.48848%            3.35824%                8291           122
                  96        433529        428384        442771            2.13183%            3.35824%                8331           124
                  98        428388        428387        442771            3.35752%            3.35761%                8333           126
                 100        428652        428387        442771            3.29379%            3.35761%                8486           128
                 102        428624        428387        442771            3.30047%            3.35761%                8714           130
                 104        428407        428388        442771            3.35281%            3.35752%                8732           132
                 106        436311        428388        442771            1.48059%            3.35752%                8782           134
                 108        433540        428388        442771            2.12925%            3.35752%                8814           136
                 110        428533        428393        442771            3.32248%            3.35621%                8901           138
                 112        428488        428393        442771            3.33328%            3.35621%                8990           140
                 114        428510        428393        442771            3.32806%            3.35621%                9132           142
                 116        428510        428393        442771            3.32806%            3.35621%                9320           144
                 118        428488        428393        442771            3.33328%            3.35621%                9436           146
                 120        428536        428393        442771            3.32175%            3.35621%                9490           148
                 121        428428        428396        442771            3.34785%            3.35541%                9713           150
                 123        428464        428396        442771            3.33914%            3.35541%                9719           152
                 125        428757        428400        442771            3.26842%            3.35452%                9754           154
                 123        428617        428400        442771            3.30211%            3.35452%                9883           154
                 125        428453        428407        442771            3.34182%            3.35281%                9907           156
                 127        428521        428407        442771            3.32524%            3.35281%               10050           158
                 129        428514        428407        442771            3.32695%            3.35281%               10147           160
                 131        428801        428411        442771            3.25794%            3.35183%               10183           162
                 133        428596        428411        442771            3.30716%            3.35183%               10212           164
                 135        428761        428411        442771            3.26744%            3.35183%               10364           166
                 136        428526        428428        442771            3.32408%            3.34785%               10407           168
                 138        428468        428428        442771            3.33799%            3.34785%               10455           170
                 140        428833        428428        442771            3.25006%            3.34785%               10484           172
                 142        428517        428437        442771            3.32634%            3.34549%               10552           174
                 144        428519        428437        442771            3.32585%            3.34549%               10692           176
                 146        428496        428437        442771            3.33129%            3.34549%               10764           178
                 145        428628        428464        442771            3.29956%            3.33914%               11293           180
                 144        428654        428468        442771            3.29316%            3.33799%               11619           182
                 146        428896        428468        442771            3.23501%            3.33799%               11654           184
                 148        428514        428488        442771            3.32708%            3.33328%               11724           186
                 150        428517        428488        442771            3.32637%            3.33328%               11726           188
                 152        428510        428488        442771            3.32808%            3.33328%               11754           190
                 154        428517        428488        442771            3.32637%            3.33328%               11778           192
                 156        428514        428488        442771            3.32708%            3.33328%               11836           194
                 158        428510        428488        442771            3.32808%            3.33328%               11899           196
                 157        433633        428510        442771            2.10717%            3.32808%               12319           198
                 157        433632        428510        442771            2.10742%            3.32808%               12815           200
                 157        428528        428510        442771            3.32351%            3.32806%               13345           202
                 159        428539        428510        442771            3.32092%            3.32806%               13397           204
                 161        428529        428510        442771            3.32342%            3.32806%               13437           206
                 163        428532        428510        442771            3.32279%            3.32806%               13500           208
                 165        428524        428510        442771            3.32465%            3.32806%               13565           210
                 167        428550        428510        442771             3.3183%            3.32806%               13646           212
                 169        434070        428514        442771            2.00433%            3.32708%               13734           214
                 168        434072        428514        442771            2.00408%            3.32708%               14366           216
                 166        428522        428517        442771            3.32508%            3.32637%               15242           218
                 168        428859        428517        442771            3.24393%            3.32637%               15370           220
                 170        428549        428517        442771            3.31854%            3.32637%               15474           222
                 172        428522        428517        442771            3.32508%            3.32637%               15491           224
                 174        428551        428517        442771            3.31803%            3.32637%               15541           226
                 176        428859        428517        442771            3.24393%            3.32637%               15629           228
                 178        428625        428517        442771            3.30026%            3.32634%               15681           230
                 180        428567        428517        442771            3.31412%            3.32634%               15733           232
                 182        428570        428517        442771            3.31346%            3.32634%               15819           234
                 184        436581        428519        442771            1.41773%            3.32585%               15928           236
                 186        433635        428519        442771            2.10681%            3.32585%               15960           238
                 187        428522        428519        442771            3.32505%            3.32585%               16017           240
                 189        428772        428521        442771            3.26482%            3.32524%               16109           242
                 191        428512        428521        442771            3.32755%            3.32524%               16260           244
                 190        428764        428521        442771            3.26674%            3.32524%               16768           246
                 192        428532        428522        442771             3.3227%            3.32508%               17019           248
                 191        428530        428522        442771            3.32319%            3.32508%               17122           248
                 193        428531        428522        442771             3.3228%            3.32508%               17346           250
                 195        428529        428522        442771            3.32331%            3.32508%               17380           252
                 197        428530        428522        442771            3.32319%            3.32508%               17463           254
                 199        428528        428522        442771            3.32368%            3.32508%               17489           256
                 198        428526        428522        442771            3.32417%            3.32505%               17512           256
