  # unexplored nodes    LB at node            LB            UB         Gap at node                 Gap   # columns in pool    # BB Nodes
                   2        407825   3.40282e+38        434043            6.42888%               -100%                2250             3
                   4        407833        407825        434043            6.42668%            6.42888%                2317             5
                   6        408311        407825        434043            6.30198%            6.42888%                2591             7
                   8        407842        407833        434043            6.42438%            6.42668%                2706             9
                  10        407842        407833        434043            6.42434%            6.42668%                2758            11
                  12        407856        407833        434043             6.4206%            6.42668%                2816            13
                  14        410221        407842        434043            5.80727%            6.42438%                2948            15
                  16        407845        407842        434043            6.42345%            6.42438%                2975            17
                  18        407842        407842        434043            6.42421%            6.42438%                3014            19

Killed
